measurement,dbms,index_variant,kind,k,phase,run,lock_hold_ms,statement_ms,commit_ms,affected_rows,probe,wait_ms,remaining_hold_ms,outcome,outcome_detail,departed_before_commit,error
"lock_hold","MySQL","indexed","UNCAPTURED","1000","measured","6","6.766","5.199","1.549","1000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","1000","measured","7","6.110","4.684","1.396","1000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","1000","measured","8","6.379","4.968","1.393","1000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","1000","measured","9","13.738","4.811","8.897","1000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","warmup","1","158.698","8.371","2.794","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","warmup","2","153.338","8.282","2.901","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","3","148.660","8.925","3.000","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","4","145.234","8.093","3.527","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","5","147.516","8.071","4.207","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","6","164.086","8.223","4.507","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","7","156.188","8.715","3.170","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","8","212.247","8.500","3.912","10000","","","","","","",""
"lock_hold","MySQL","indexed","UPDATE","10000","measured","9","204.542","9.826","3.476","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","warmup","1","35.576","32.978","2.511","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","warmup","2","35.158","32.132","2.959","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","3","44.264","35.960","8.232","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","4","37.454","34.146","3.241","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","5","71.486","61.373","10.060","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","6","39.118","35.222","3.835","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","7","36.488","33.193","3.230","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","8","36.287","33.258","2.985","10000","","","","","","",""
"lock_hold","MySQL","indexed","UNCAPTURED","10000","measured","9","38.331","35.734","2.534","10000","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","warmup","1","10.437","5.999","1.821","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","warmup","2","9.982","5.870","1.698","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","3","9.623","6.173","1.279","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","4","10.219","6.060","1.905","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","5","9.500","5.824","1.514","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","6","9.709","5.971","1.623","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","7","9.093","5.918","1.329","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","8","9.564","5.872","1.759","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","10","measured","9","10.016","5.897","1.586","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","warmup","1","2.584","1.113","1.454","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","warmup","2","2.917","1.277","1.614","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","3","2.202","0.944","1.238","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","4","3.093","1.247","1.824","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","5","3.275","1.562","1.693","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","6","2.703","1.114","1.571","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","7","3.310","1.331","1.961","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","8","3.175","1.426","1.728","10","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","10","measured","9","3.136","1.348","1.765","10","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","warmup","1","11.943","6.593","2.016","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","warmup","2","9.620","5.881","1.018","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","3","9.857","5.564","1.380","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","4","14.619","8.177","1.963","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","5","12.411","6.437","2.062","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","6","12.689","6.651","2.264","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","7","12.041","6.066","2.297","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","8","13.473","6.851","2.276","100","","","","","","",""
"lock_hold","MySQL","unindexed","UPDATE","100","measured","9","11.943","6.264","2.685","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","warmup","1","5.028","1.966","3.013","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","warmup","2","4.049","1.586","2.439","100","","","","","","",""
"lock_hold","MySQL","unindexed","UNCAPTURED","100","measured","3","3.451","1.659","1.768","100","","","","","","",""
