dbms,writer_pause_ms,mode,k,run,lock_hold_ms,total_ms,stale_rows,committed,abort_with_version,abort_without_version,writer_commits,writer_p50_ms,writer_p95_ms,writer_max_ms
MySQL,50,OPTIMISTIC,1000,6,21.15,42.42,0,true,false,false,4,3.07,11.20,11.20
MySQL,50,OPTIMISTIC,1000,7,21.77,49.35,0,true,false,false,4,4.05,6.87,6.87
MySQL,50,OPTIMISTIC,1000,8,21.09,44.11,0,true,false,false,4,3.80,6.52,6.52
MySQL,50,OPTIMISTIC,1000,9,15.34,48.67,0,true,false,false,5,3.31,5.38,5.38
MySQL,50,UNCAPTURED,1000,3,17.57,33.20,0,true,false,false,4,4.43,7.98,7.98
MySQL,50,UNCAPTURED,1000,4,14.28,30.67,0,true,false,false,6,5.70,8.42,8.42
MySQL,50,UNCAPTURED,1000,5,13.70,40.43,0,true,false,false,6,7.72,14.72,14.72
MySQL,50,UNCAPTURED,1000,6,10.01,29.47,0,true,false,false,5,2.92,6.23,6.23
MySQL,50,UNCAPTURED,1000,7,10.26,26.07,0,true,false,false,4,3.74,6.85,6.85
MySQL,50,UNCAPTURED,1000,8,15.51,35.76,0,true,false,false,4,3.73,8.74,8.74
MySQL,50,UNCAPTURED,1000,9,28.72,49.44,0,true,false,false,5,4.32,5.74,5.74
MySQL,50,PESSIMISTIC,10000,3,87.03,97.42,0,true,false,false,4,2.96,75.24,75.24
MySQL,50,PESSIMISTIC,10000,4,94.92,109.55,0,true,false,false,4,3.34,56.76,56.76
MySQL,50,PESSIMISTIC,10000,5,107.89,128.65,0,true,false,false,4,2.94,94.80,94.80
MySQL,50,PESSIMISTIC,10000,6,104.39,127.99,0,true,false,false,4,2.96,100.14,100.14
MySQL,50,PESSIMISTIC,10000,7,103.56,125.08,0,true,false,false,4,3.03,94.93,94.93
MySQL,50,PESSIMISTIC,10000,8,93.74,119.55,0,true,false,false,6,3.54,35.40,35.40
MySQL,50,PESSIMISTIC,10000,9,87.86,120.77,0,true,false,false,4,2.30,86.55,86.55
MySQL,50,OPTIMISTIC,10000,3,140.00,178.13,3,false,true,true,7,4.51,75.92,75.92
MySQL,50,OPTIMISTIC,10000,4,100.89,116.64,2,false,true,true,6,1.97,28.93,28.93
MySQL,50,OPTIMISTIC,10000,5,77.04,104.59,0,true,false,false,4,3.97,56.38,56.38
MySQL,50,OPTIMISTIC,10000,6,123.33,168.59,2,false,true,true,6,7.83,75.21,75.21
MySQL,50,OPTIMISTIC,10000,7,115.08,146.81,2,false,true,true,6,3.08,59.29,59.29
MySQL,50,OPTIMISTIC,10000,8,111.70,137.93,2,false,true,true,6,2.70,44.10,44.10
MySQL,50,OPTIMISTIC,10000,9,119.94,149.51,2,false,true,true,6,2.79,52.79,52.79
MySQL,50,UNCAPTURED,10000,3,41.74,61.15,0,true,false,false,5,2.33,24.50,24.50
MySQL,50,UNCAPTURED,10000,4,44.32,60.53,0,true,false,false,4,2.91,15.56,15.56
MySQL,50,UNCAPTURED,10000,5,41.93,58.55,0,true,false,false,6,2.50,18.95,18.95
MySQL,50,UNCAPTURED,10000,6,34.00,42.46,0,true,false,false,5,1.91,18.85,18.85
MySQL,50,UNCAPTURED,10000,7,53.65,73.50,0,true,false,false,6,3.02,3.57,3.57
MySQL,50,UNCAPTURED,10000,8,42.80,54.95,0,true,false,false,5,2.24,9.14,9.14
MySQL,50,UNCAPTURED,10000,9,54.63,76.17,0,true,false,false,6,1.89,4.34,4.34
PostgreSQL,0,PESSIMISTIC,1000,3,11.33,17.22,0,true,false,false,235,0.91,1.34,10.32
PostgreSQL,0,PESSIMISTIC,1000,4,11.02,16.98,0,true,false,false,239,0.88,1.25,9.01
PostgreSQL,0,PESSIMISTIC,1000,5,10.15,16.13,0,true,false,false,284,0.79,0.98,9.59
PostgreSQL,0,PESSIMISTIC,1000,6,9.03,14.91,0,true,false,false,267,0.80,0.95,7.74
PostgreSQL,0,PESSIMISTIC,1000,7,13.71,19.84,0,true,false,false,274,0.79,0.99,13.39
PostgreSQL,0,PESSIMISTIC,1000,8,8.79,14.62,0,true,false,false,285,0.79,0.94,6.98
PostgreSQL,0,PESSIMISTIC,1000,9,7.11,13.01,0,true,false,false,262,0.86,1.05,6.77
PostgreSQL,0,OPTIMISTIC,1000,3,4.93,12.33,6,false,true,true,271,0.81,1.00,5.05
PostgreSQL,0,OPTIMISTIC,1000,4,4.99,12.41,6,false,true,true,284,0.79,0.93,4.51
PostgreSQL,0,OPTIMISTIC,1000,5,5.46,12.88,5,false,true,true,298,0.78,0.91,5.20
PostgreSQL,0,OPTIMISTIC,1000,6,4.82,12.12,5,false,true,true,271,0.80,0.98,5.61
PostgreSQL,0,OPTIMISTIC,1000,7,5.25,12.73,6,false,true,true,218,0.91,1.78,5.61
PostgreSQL,0,OPTIMISTIC,1000,8,5.10,11.66,6,false,true,true,253,0.81,1.07,6.05
PostgreSQL,0,OPTIMISTIC,1000,9,5.48,13.32,7,false,true,true,263,0.86,1.26,4.65
PostgreSQL,0,UNCAPTURED,1000,3,2.98,8.48,0,true,false,false,267,0.79,0.95,3.14
PostgreSQL,0,UNCAPTURED,1000,4,4.94,11.03,0,true,false,false,273,0.80,0.98,3.19
PostgreSQL,0,UNCAPTURED,1000,5,3.25,9.15,0,true,false,false,270,0.79,0.98,2.69
PostgreSQL,0,UNCAPTURED,1000,6,2.49,8.05,0,true,false,false,287,0.77,0.89,2.29
PostgreSQL,0,UNCAPTURED,1000,7,2.98,8.25,0,true,false,false,287,0.79,0.97,2.95
PostgreSQL,0,UNCAPTURED,1000,8,3.46,9.34,0,true,false,false,251,0.84,1.26,3.15
PostgreSQL,0,UNCAPTURED,1000,9,3.39,8.93,0,true,false,false,280,0.78,0.89,2.20
PostgreSQL,0,PESSIMISTIC,10000,3,66.04,72.32,0,true,false,false,253,0.87,1.15,62.43
PostgreSQL,0,PESSIMISTIC,10000,4,73.57,79.01,0,true,false,false,244,0.93,1.07,69.84
PostgreSQL,0,PESSIMISTIC,10000,5,70.77,77.25,0,true,false,false,199,1.03,2.37,69.79
PostgreSQL,0,PESSIMISTIC,10000,6,67.13,73.47,0,true,false,false,265,0.84,1.11,64.92
PostgreSQL,0,PESSIMISTIC,10000,7,64.59,70.20,0,true,false,false,168,1.01,2.58,64.37
PostgreSQL,0,PESSIMISTIC,10000,8,64.13,70.15,0,true,false,false,238,0.94,1.22,61.43
PostgreSQL,0,PESSIMISTIC,10000,9,69.73,77.28,0,true,false,false,284,0.85,1.07,67.48
PostgreSQL,0,OPTIMISTIC,10000,3,49.74,67.98,29,false,true,true,299,0.84,1.13,45.69
PostgreSQL,0,OPTIMISTIC,10000,4,50.71,67.11,38,false,true,true,278,0.85,1.12,47.24
PostgreSQL,0,OPTIMISTIC,10000,5,51.03,69.23,27,false,true,true,290,0.85,1.24,49.07
PostgreSQL,0,OPTIMISTIC,10000,6,49.00,67.55,35,false,true,true,298,0.84,1.09,48.19
PostgreSQL,0,OPTIMISTIC,10000,7,48.79,67.90,28,false,true,true,280,0.86,1.12,47.13
PostgreSQL,0,OPTIMISTIC,10000,8,47.90,64.84,31,false,true,true,281,0.88,1.13,44.85
PostgreSQL,0,OPTIMISTIC,10000,9,48.21,64.85,28,false,true,true,301,0.83,1.00,46.83
PostgreSQL,0,UNCAPTURED,10000,3,38.68,44.44,0,true,false,false,271,0.82,0.96,35.93
PostgreSQL,0,UNCAPTURED,10000,4,39.43,45.91,0,true,false,false,256,0.86,1.10,36.56
PostgreSQL,0,UNCAPTURED,10000,5,40.37,46.46,0,true,false,false,251,0.86,1.02,39.63
PostgreSQL,0,UNCAPTURED,10000,6,40.35,46.86,0,true,false,false,225,0.86,1.29,39.70
PostgreSQL,0,UNCAPTURED,10000,7,42.45,47.64,0,true,false,false,297,0.81,0.92,37.00
PostgreSQL,0,UNCAPTURED,10000,8,36.99,43.03,0,true,false,false,282,0.80,0.95,33.21
PostgreSQL,0,UNCAPTURED,10000,9,38.50,43.76,0,true,false,false,267,0.80,0.95,37.83
PostgreSQL,50,PESSIMISTIC,1000,3,24.19,37.63,0,true,false,false,4,4.14,10.93,10.93
PostgreSQL,50,PESSIMISTIC,1000,4,17.72,41.57,0,true,false,false,6,4.21,11.50,11.50
PostgreSQL,50,PESSIMISTIC,1000,5,25.77,47.00,0,true,false,false,6,5.17,5.42,5.42
PostgreSQL,50,PESSIMISTIC,1000,6,20.05,41.48,0,true,false,false,4,4.27,5.93,5.93
PostgreSQL,50,PESSIMISTIC,1000,7,16.87,36.73,0,true,false,false,6,2.35,7.25,7.25
PostgreSQL,50,PESSIMISTIC,1000,8,18.15,37.53,0,true,false,false,4,3.70,5.02,5.02
PostgreSQL,50,PESSIMISTIC,1000,9,17.42,29.42,0,true,false,false,4,3.90,4.23,4.23
PostgreSQL,50,OPTIMISTIC,1000,3,15.29,33.93,0,true,false,false,4,4.55,4.91,4.91
PostgreSQL,50,OPTIMISTIC,1000,4,13.84,39.42,0,true,false,false,4,3.77,4.56,4.56
PostgreSQL,50,OPTIMISTIC,1000,5,18.05,47.22,0,true,false,false,6,3.27,10.05,10.05
PostgreSQL,50,OPTIMISTIC,1000,6,13.42,29.23,0,true,false,false,4,2.05,3.37,3.37
PostgreSQL,50,OPTIMISTIC,1000,7,9.91,25.62,0,true,false,false,6,4.06,7.37,7.37
PostgreSQL,50,OPTIMISTIC,1000,8,9.33,26.58,0,true,false,false,4,2.49,3.46,3.46
PostgreSQL,50,OPTIMISTIC,1000,9,9.85,21.66,0,true,false,false,4,2.82,4.36,4.36
PostgreSQL,50,UNCAPTURED,1000,3,8.18,25.56,0,true,false,false,4,3.81,5.85,5.85
PostgreSQL,50,UNCAPTURED,1000,4,11.81,32.03,0,true,false,false,6,4.67,7.38,7.38
PostgreSQL,50,UNCAPTURED,1000,5,41.03,48.16,0,true,false,false,4,2.98,24.21,24.21
PostgreSQL,50,UNCAPTURED,1000,6,11.86,33.35,0,true,false,false,4,4.20,6.97,6.97
PostgreSQL,50,UNCAPTURED,1000,7,4.75,21.99,0,true,false,false,4,2.91,5.47,5.47
PostgreSQL,50,UNCAPTURED,1000,8,7.29,23.33,0,true,false,false,4,4.69,8.46,8.46
PostgreSQL,50,UNCAPTURED,1000,9,6.03,28.41,0,true,false,false,4,4.43,7.22,7.22
PostgreSQL,50,PESSIMISTIC,10000,3,81.80,108.86,0,true,false,false,5,3.39,69.21,69.21
PostgreSQL,50,PESSIMISTIC,10000,4,88.18,113.10,0,true,false,false,5,5.77,76.13,76.13
PostgreSQL,50,PESSIMISTIC,10000,5,82.34,97.71,0,true,false,false,4,3.42,69.38,69.38
PostgreSQL,50,PESSIMISTIC,10000,6,105.80,123.57,0,true,false,false,4,2.82,84.81,84.81
PostgreSQL,50,PESSIMISTIC,10000,7,79.87,100.77,0,true,false,false,6,6.54,45.20,45.20
PostgreSQL,50,PESSIMISTIC,10000,8,78.08,97.16,0,true,false,false,4,5.14,71.45,71.45
PostgreSQL,50,PESSIMISTIC,10000,9,66.96,78.95,0,true,false,false,4,3.71,43.42,43.42
PostgreSQL,50,OPTIMISTIC,10000,3,64.17,109.11,2,false,true,true,6,3.43,7.40,7.40
PostgreSQL,50,OPTIMISTIC,10000,4,48.76,85.66,0,true,false,false,4,2.69,40.72,40.72
PostgreSQL,50,OPTIMISTIC,10000,5,43.99,76.00,1,false,true,false,5,2.59,31.90,31.90
PostgreSQL,50,OPTIMISTIC,10000,6,54.08,107.75,2,false,true,true,6,1.76,2.98,2.98
PostgreSQL,50,OPTIMISTIC,10000,7,46.31,77.89,2,false,true,true,6,1.53,10.36,10.36
PostgreSQL,50,OPTIMISTIC,10000,8,43.36,76.39,1,false,true,false,5,3.74,31.29,31.29
PostgreSQL,50,OPTIMISTIC,10000,9,38.04,84.25,2,false,true,true,6,1.88,4.21,4.21
PostgreSQL,50,UNCAPTURED,10000,3,33.88,51.67,0,true,false,false,4,3.58,16.59,16.59
PostgreSQL,50,UNCAPTURED,10000,4,24.09,37.33,0,true,false,false,4,1.87,2.77,2.77
PostgreSQL,50,UNCAPTURED,10000,5,33.81,54.39,0,true,false,false,6,4.64,9.48,9.48
PostgreSQL,50,UNCAPTURED,10000,6,39.11,60.54,0,true,false,false,5,3.14,16.41,16.41
PostgreSQL,50,UNCAPTURED,10000,7,31.90,53.68,0,true,false,false,4,2.42,9.30,9.30
PostgreSQL,50,UNCAPTURED,10000,8,31.90,50.05,0,true,false,false,4,2.47,3.67,3.67
PostgreSQL,50,UNCAPTURED,10000,9,31.95,49.54,0,true,false,false,6,3.68,6.38,6.38
