policy,delay_ms,interval_ms,intended_ms,snapshot_ms,blocked
QUEUE,2000,1000,11000,24377,0
QUEUE,2000,1000,12000,26390,0
QUEUE,2000,1000,13000,28404,0
QUEUE,2000,1000,14000,30414,0
QUEUE,2000,1000,15000,32427,0
QUEUE,2000,1000,16000,34436,0
QUEUE,2000,1000,17000,36460,0
QUEUE,2000,1000,18000,38616,0
QUEUE,2000,1000,19000,40628,0
QUEUE,2000,1000,20000,42644,0
QUEUE,2000,1000,21000,44667,0
QUEUE,2000,1000,22000,46689,0
QUEUE,2000,1000,23000,48713,0
QUEUE,2000,1000,24000,50737,0
QUEUE,2000,1000,25000,52762,0
QUEUE,2000,1000,26000,54779,0
QUEUE,2000,1000,27000,56802,0
QUEUE,2000,1000,28000,58819,0
QUEUE,2000,1000,29000,60844,0
QUEUE,2000,1000,30000,62865,0
QUEUE,2000,1000,31000,64903,0
QUEUE,2000,1000,32000,66925,0
QUEUE,2000,1000,33000,68958,0
QUEUE,2000,1000,34000,70982,0
QUEUE,2000,1000,35000,73004,0
QUEUE,2000,1000,36000,75024,0
QUEUE,2000,1000,37000,77052,0
QUEUE,2000,1000,38000,79073,0
QUEUE,2000,1000,39000,81100,0
PARALLEL,2000,1000,0,2034,0
PARALLEL,2000,1000,1000,3024,0
PARALLEL,2000,1000,2000,4176,0
PARALLEL,2000,1000,3000,5034,1
PARALLEL,2000,1000,4000,6069,0
PARALLEL,2000,1000,5000,7035,0
PARALLEL,2000,1000,6000,8040,0
PARALLEL,2000,1000,7000,9100,1
PARALLEL,2000,1000,8000,10054,0
PARALLEL,2000,1000,9000,11034,0
PARALLEL,2000,1000,10000,12082,0
PARALLEL,2000,1000,11000,13034,1
PARALLEL,2000,1000,12000,14149,0
PARALLEL,2000,1000,13000,15023,0
PARALLEL,2000,1000,14000,16042,0
PARALLEL,2000,1000,15000,17033,1
PARALLEL,2000,1000,16000,18071,0
PARALLEL,2000,1000,17000,19132,0
PARALLEL,2000,1000,18000,20031,0
PARALLEL,2000,1000,19000,21032,1
PARALLEL,2000,1000,20000,22062,0
PARALLEL,2000,1000,21000,23022,0
PARALLEL,2000,1000,22000,24164,0
PARALLEL,2000,1000,23000,25034,1
PARALLEL,2000,1000,24000,26060,0
PARALLEL,2000,1000,25000,27034,0
PARALLEL,2000,1000,26000,28053,0
PARALLEL,2000,1000,27000,29067,1
PARALLEL,2000,1000,28000,30041,0
PARALLEL,2000,1000,29000,31020,0
PARALLEL,2000,1000,30000,32062,0
PARALLEL,2000,1000,31000,33024,1
PARALLEL,2000,1000,32000,34155,0
PARALLEL,2000,1000,33000,35033,0
PARALLEL,2000,1000,34000,36031,0
PARALLEL,2000,1000,35000,37028,1
PARALLEL,2000,1000,36000,38056,0
PARALLEL,2000,1000,37000,39149,0
PARALLEL,2000,1000,38000,40051,0
PARALLEL,2000,1000,39000,41033,0
DELAY,0,1000,34,34,0
DELAY,0,1000,1050,1050,1
DELAY,0,1000,2070,2070,0
DELAY,0,1000,3077,3077,0
DELAY,0,1000,4086,4086,0
DELAY,0,1000,5091,5091,1
DELAY,0,1000,6117,6120,0
DELAY,0,1000,7156,7162,0
DELAY,0,1000,8269,8272,0
DELAY,0,1000,9344,9378,1
DELAY,0,1000,10454,10456,0
DELAY,0,1000,11621,11644,0
DELAY,0,1000,12706,12707,1
DELAY,0,1000,13730,13735,1
DELAY,0,1000,14873,14876,0
DELAY,0,1000,15912,15933,0
DELAY,0,1000,17098,17100,1
DELAY,0,1000,18154,18163,1
DELAY,0,1000,19346,19349,0
DELAY,0,1000,20384,20388,0
DELAY,0,1000,21501,21503,1
DELAY,0,1000,22615,22617,0
DELAY,0,1000,23841,23844,0
DELAY,0,1000,24900,24901,1
DELAY,0,1000,26009,26010,1
DELAY,0,1000,27050,27055,0
DELAY,0,1000,28126,28140,0
DELAY,0,1000,29259,29263,1
DELAY,0,1000,30478,30479,0
DELAY,0,1000,31531,31537,0
DELAY,0,1000,32651,32652,1
DELAY,0,1000,33685,33685,1
DELAY,0,1000,34762,34764,0
DELAY,0,1000,35794,35796,0
DELAY,0,1000,36982,36990,1
DELAY,0,1000,38096,38115,0
DELAY,0,1000,39268,39268,0
QUEUE,0,1000,0,545,1
QUEUE,0,1000,1000,1010,1
QUEUE,0,1000,2000,2007,1
QUEUE,0,1000,3000,3004,0
QUEUE,0,1000,4000,4007,0
QUEUE,0,1000,5000,5006,1
QUEUE,0,1000,6000,6042,1
QUEUE,0,1000,7000,7009,0
QUEUE,0,1000,8000,8006,0
QUEUE,0,1000,9000,9003,1
QUEUE,0,1000,10000,10010,1
QUEUE,0,1000,11000,11004,0
QUEUE,0,1000,12000,12009,0
QUEUE,0,1000,13000,13005,1
QUEUE,0,1000,14000,14008,1
QUEUE,0,1000,15000,15004,0
QUEUE,0,1000,16000,16007,0
QUEUE,0,1000,17000,17001,1
QUEUE,0,1000,18000,18004,1
QUEUE,0,1000,19000,19024,0
QUEUE,0,1000,20000,20007,0
QUEUE,0,1000,21000,21002,1
QUEUE,0,1000,22000,22009,1
QUEUE,0,1000,23000,23010,0
QUEUE,0,1000,24000,24009,0
QUEUE,0,1000,25000,25013,1
QUEUE,0,1000,26000,26007,1
QUEUE,0,1000,27000,27014,0
QUEUE,0,1000,28000,28009,0
QUEUE,0,1000,29000,29012,1
QUEUE,0,1000,30000,30006,1
QUEUE,0,1000,31000,31007,0
QUEUE,0,1000,32000,32010,0
QUEUE,0,1000,33000,33006,1
QUEUE,0,1000,34000,34024,1
QUEUE,0,1000,35000,35025,0
QUEUE,0,1000,36000,36038,0
QUEUE,0,1000,37000,37005,1
QUEUE,0,1000,38000,38005,1
QUEUE,0,1000,39000,39010,0
PARALLEL,0,1000,0,35,0
PARALLEL,0,1000,1000,1016,1
PARALLEL,0,1000,2000,2010,1
PARALLEL,0,1000,3000,3034,0
PARALLEL,0,1000,4000,4013,0
PARALLEL,0,1000,5000,5015,1
PARALLEL,0,1000,6000,6016,0
PARALLEL,0,1000,7000,7013,0
PARALLEL,0,1000,8000,8008,0
PARALLEL,0,1000,9000,9034,1
PARALLEL,0,1000,10000,10017,0
PARALLEL,0,1000,11000,11012,0
